date,cases,deaths
2020-01-18,7,0
2020-01-25,11,0
2020-02-01,19,0
2020-02-08,7,0
2020-02-15,14,0
2020-02-22,40,0
2020-02-29,121,3
2020-03-07,412,17
2020-03-14,1880,63
2020-03-21,4491,172
2020-03-28,6514,261
2020-04-04,7117,429
2020-04-11,8743,535
2020-04-18,10381,628
2020-04-25,8380,379
2020-05-02,7804,216
2020-05-09,6729,193
2020-05-16,6572,150
2020-05-23,5727,94
2020-05-30,4317,49
2020-06-06,3149,37
2020-06-13,2428,30
2020-06-20,2190,29
2020-06-27,2036,26
2020-07-04,1937,26
2020-07-11,2882,49
2020-07-18,3195,37
2020-07-25,2845,27
2020-08-01,2434,14
2020-08-08,2617,11
2020-08-15,2784,21
2020-08-22,2969,24
2020-08-29,3596,18
2020-09-05,4503,25
2020-09-12,6060,44
2020-09-19,8314,52
2020-09-26,12018,78
2020-10-03,13949,86
2020-10-10,14825,133
2020-10-17,16320,127
2020-10-24,18750,230
2020-10-31,22505,345
2020-11-07,29637,405
2020-11-14,33866,397
2020-11-21,36491,459
2020-11-28,40709,624
2020-12-05,43734,637
2020-12-12,45042,617
2020-12-19,44765,673
2020-12-26,46242,572
2021-01-02,52596,629
2021-01-09,49204,681
2021-01-16,39262,526
2021-01-23,32130,419
2021-01-30,26074,270
2021-02-06,22798,202
2021-02-13,20998,157
2021-02-20,20038,144
2021-02-27,20088,146
2021-03-06,21151,143
2021-03-13,23269,183
2021-03-20,28990,194
2021-03-27,37428,230
2021-04-03,48611,292
2021-04-10,62641,361
2021-04-17,58184,316
2021-04-24,54814,292
2021-05-01,51558,259
2021-05-08,44095,217
2021-05-15,35057,181
2021-05-22,24031,139
2021-05-29,15222,88
2021-06-05,10914,84
2021-06-12,7734,48
2021-06-19,5394,39
2021-06-26,3998,40
2021-07-03,3197,39
2021-07-10,2786,18
2021-07-17,3099,20
2021-07-24,4579,26
2021-07-31,6797,39
2021-08-07,11441,44
2021-08-14,15183,88
2021-08-21,19923,135
2021-08-28,24297,172
2021-09-04,27430,226
2021-09-11,29900,258
2021-09-18,30601,272
2021-09-25,29619,233
2021-10-02,25396,258
2021-10-09,21775,196
2021-10-16,18837,175
2021-10-23,15789,155
2021-10-30,15425,106
2021-11-06,17634,149
2021-11-13,16782,118
2021-11-20,17311,109
2021-11-27,19453,115
2021-12-04,23513,104
2021-12-11,34460,96
2021-12-18,85404,83
2021-12-25,198491,207
2022-01-01,306343,488
2022-01-08,239828,756
2022-01-15,157976,895
2022-01-22,113189,708
2022-01-29,90476,557
2022-02-05,71200,441
2022-02-12,52686,309
2022-02-19,40273,232
2022-02-26,36517,190
2022-03-05,35417,192
2022-03-12,35168,178
2022-03-19,37073,165
2022-03-26,46637,211
2022-04-02,58906,286
2022-04-09,63004,381
2022-04-16,55306,389
2022-04-23,48655,369
2022-04-30,38393,358
2022-05-07,30545,310
2022-05-14,24063,204
2022-05-21,17462,203
2022-05-28,14883,142
2022-06-04,13873,117
2022-06-11,12999,83
2022-06-18,13386,100
2022-06-25,16329,84
2022-07-02,21248,111
2022-07-09,25189,164
2022-07-16,29370,174
2022-07-23,28190,241
2022-07-30,24363,241
2022-08-06,22172,197
2022-08-13,20720,235
2022-08-20,20264,231
2022-08-27,18272,207
2022-09-03,15868,177
2022-09-10,15056,180
2022-09-17,15817,177
2022-09-24,16635,220
2022-10-01,17443,224
2022-10-08,18872,326
2022-10-15,19798,292
2022-10-22,18803,319
2022-10-29,17439,264
2022-11-05,15498,223
2022-11-12,12731,262
2022-11-19,12258,221
2022-11-26,13538,194
2022-12-03,13305,190
2022-12-10,14040,225
2022-12-17,14806,175
2022-12-24,13440,176
2022-12-31,14292,223
2023-01-07,13757,211
2023-01-14,10894,192
2023-01-21,9501,129
2023-01-28,8682,110
2023-02-04,8530,116
2023-02-11,8375,114
2023-02-18,7972,115
2023-02-25,7684,120
2023-03-04,7583,118
2023-03-11,7011,96
2023-03-18,7062,104
2023-03-25,6465,96
2023-04-01,5781,75
2023-04-08,5071,109
2023-04-15,5316,53
2023-04-22,4424,47
2023-04-29,3601,45
2023-05-06,3390,45
2023-05-13,2992,41
2023-05-20,2755,38
2023-05-27,2511,27
2023-06-03,2300,22
2023-06-10,1858,22
2023-06-17,1435,13
2023-06-24,1205,16
2023-07-01,1021,14
2023-07-08,987,14
2023-07-15,1089,12
2023-07-22,1175,15
2023-07-29,1274,15
2023-08-05,1474,12
2023-08-12,1809,12
2023-08-19,2369,5
2023-08-26,2800,1
